添字,タイトル,制作年度,監督,ジャンル1,ジャンル2,主演1,主演2,主演3,主演4,主演5,脚本1,脚本2,脚本3,脚本4,受賞歴,制作国1,制作国2,制作国3,制作国4,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10
14,ラヂオの時間,1997,三谷幸喜,コメディ,ドラマ,唐沢寿明,鈴木京香,西村雅彦,戸田恵子,井上順,三谷幸喜,0,0,0,日本アカデミー賞助演男優賞　報知映画賞作品賞　日刊日本インターネット映画大賞外国映画部門主演男優賞,日本,0,0,0,嬉しい,0.004839,面白い,0.004522,暗い,0.004298,楽しい,0.004022,良い,0.002159,優しい,0.000836,凛々しい,0.00079,手強い,0.000657,若い,0.000517,大切な,0.000274
15,チャーリーとチョコレート工場,2005,ティム・バートン,コメディ,ファンタジー,ジョニー・デップ,フレディ・ハイモア,デヴィッド・ケリー,ヘレナ・ボナム・カーター,ノア・テイラー,ジョン・オーガスト,0,0,0,日本インターネット映画大賞外国映画部門主演男優賞,アメリカ,0,0,0,貧しい,0.009065,暗い,0.002924,良い,0.00268,手強い,0.002284,楽しい,0.001937,逞しい,0.001039,凛々しい,0.000891,若い,0.000773,古臭い,0.000522,優しい,0.000409
16,禁じられた遊び,1951,ルネ・クレマン,ドラマ,0,ブリジット・フォッセー,ジョルジュ・プージュリー,シュザンヌ・クールタル,ジャック・マラン,リュシアン・ユベール,ジャン・オーランシュ,ピエール・ボスト,0,0,アカデミー賞名誉賞　ブルーリボン賞　外国作品賞　ヴ日本映画プロフェッショナル大賞特別賞,フランス,0,0,0,強い,0.170371,良い,0.047187,古い,0.014543,つらい,0.008363,若い,0.007845,憎い,0.007102,空しい,0.006813,優しい,0.005251,逞しい,0.005034,楽しい,0.003209
17,ウォーターボーイズ,2001,矢口史靖,青春,コメディ,妻夫木聡,玉木宏,三浦哲郎,近藤公園,金子貴俊,矢口史靖,0,0,0,日本映画プロフェッショナル大賞特別賞,日本,0,0,0,古臭い,0.011088,古臭い,0.011088,良い,0.005488,貧しい,0.003673,若い,0.003496,逞しい,0.003054,空しい,0.002359,楽しい,0.002095,微笑ましい,0.001181,眩い,0.000993
18,耳をすませば,1995,近藤喜文,青春,アニメ,本名陽子,高橋一生,立花隆,室井滋,露口茂,宮崎駿,0,0,0,0,日本,0,0,0,難しい,0.02509,古臭い,0.00659,若い,0.004057,凛々しい,0.002894,微笑ましい,0.001789,楽しい,0.001767,空しい,0.000963,大切な,0.000864,逞しい,0.000849,珍しい,0.00042
19,ダイ・ハード2,1990,レニー・ハーリン,アクション,0,ブルース・ウィリス,ボニー・ベデリア,ウィリアム・サドラー,ジョン・エイモス,フランコ・ネロ,ダグ・リチャードソン,スティーブン・E・デ・スーザ,0,0,0,アメリカ,0,0,0,古い,0.012058,空しい,0.004478,凛々しい,0.001986,良い,0.001492,珍しい,0.001102,若い,0.000955,逞しい,0.000794,楽しい,0.000599,手強い,0.000357,憎い,0.000133
20,ローマの休日,1953,ウィリアム・ワイラー,ロマンス,コメディ,オードリー・ヘプバーン,グレゴリー・ペック,エディ・アルバート,テュリオ・カルミナティ,パオロ・カルソーニ,イアン・マクレラン・ハンター,ジョン・ダイトン,0,0,アカデミー賞衣装デザイン賞主演女優賞　ゴールデング0,アメリカ,0,0,0,古い,0.0098,切ない,0.008759,凄い,0.005887,良い,0.005079,若い,0.004869,空しい,0.001886,凛々しい,0.00178,優しい,0.001499,逞しい,0.001076,楽しい,0.00083
21,名探偵コナン 銀翼の奇術師,2004,山本泰一郎,ミステリー,アニメ,高山みなみ,山崎和佳奈,神谷明,山口勝平,茶風林,古内一成,0,0,0,0,日本,0,0,0,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456
22,ダンサー・イン・ザ・ダーク,2000,ラース・フォン・トリアー,ドラマ,ミュージカル,ビョーク,カトリーヌ・ドヌーヴ,デヴィッド・モース,ピーター・ストーメア,ジョエル・グレイ,ラース・フォン・トリアー,0,0,0,ブルーリボン賞外国作品　カンヌ国際映画祭パルム・ド0,デンマーク,ドイツ,0,0,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456
23,ジョーズ2,1978,ジュノー・シュウォーク,パニック,アドベンチャー,ロイ・シャイダー,ロレイン・ゲイリー,マーレイ・ハミルトン,ジョセフ・マスコロ,ジェフリー・クレイマー,カール・ゴットリーブ,ハワード・サックラー,0,0,0,アメリカ,0,0,0,難しい,0.036258,珍しい,0.028153,深い,0.009714,微笑ましい,0.008543,憎い,0.007217,空しい,0.006485,良い,0.004583,若い,0.002816,優しい,0.00177,古臭い,0.001686
24,プレデター,1987,ジョン・マクティアナン,アクション,ＳＦ,アーノルド・シュワルツェネッガー,カール・ウェザース,エルピディア・カリロ,ビル・デューク,ソニー・ランダム,ジェームズ・E・トーマス,ジョン・C・トーマス,0,0,0,アメリカ,0,0,0,危うい,0.035003,怖い,0.021454,危険な,0.008348,力強い,0.008195,難しい,0.007865,つらい,0.003845,優しい,0.003496,豊かな,0.003002,逞しい,0.002867,楽しい,0.002488
25,12モンキーズ,1995,テリー・ギリアム,ＳＦ,サスペンス,ブルース・ウィリス,マデリーン・ストウ,ブラッド・ピット,クリストファー・プラマー,ジョン・セダ,デビッド・ピープルズ,ジャネット・ピープルズ,0,0,ゴールデングローブ助演男優賞,アメリカ,0,0,0,良い,0.015399,空しい,0.005967,楽しい,0.004058,微笑ましい,0.002868,凛々しい,0.002744,力強い,0.002103,古臭い,0.001842,古臭い,0.001842,手強い,0.001622,逞しい,0.001481
26,マスク2,2005,ローレンス・ガターマン,コメディ,アクション,ジェイミー・ケネディ,アラン・カミング,トレイラー・ハワード,ボブ・ホスキンズ,ベン・スタイン,ランス・カゼイ,0,0,0,0,アメリカ,ドイツ,0,0,面白い,0.011527,素晴らしい,0.002222,清々しい,0.000926,微笑ましい,0.000786,優しい,0.000694,良い,0.000512,楽しい,0.000459,逞しい,0.000328,憎い,0.00008,貧しい,0.00005
27,ザ・ロック,1996,マイケル・ベイ,アクション,サスペンス,ニコラス・ケイジ,ショーン・コネリー,エド・ハリス,マイケル・ビーン,ウィリアム・フォーサイス,デヴィッド・ワイズバーグ,ダグラス・S・クック,マーク・ロズナー,0,0,アメリカ,0,0,0,深い,0.043059,つらい,0.004175,良い,0.001938,逞しい,0.001839,若い,0.001689,手強い,0.0015,空しい,0.000995,切ない,0.000663,優しい,0.000633,古臭い,0.000587
28,エイリアンVSプレデター,2004,ポール・Ｗ・Ｓ・アンダーソン,ＳＦ,ホラー,サナ・レイサン,ラウル・ボヴァ,ランス・ヘンリクセン,ユエン・ブレムナー,コリン・サーモン,ポール・Ｗ・Ｓ・アンダーソン,0,0,0,0,アメリカ,0,0,0,美しい,0.029922,珍しい,0.013023,良い,0.003739,悲しい,0.002173,若い,0.001877,空しい,0.001662,手強い,0.001225,楽しい,0.001022,貧しい,0.00069,凛々しい,0.000555
29,ガメラ3 邪神覚醒,1999,金子修介,ＳＦ,特撮,中山忍,前田愛,藤谷文子,山咲千里,手塚とおる,伊藤和典,金子修介,0,0,日本インターネット映画大賞日本映画部門作品賞,日本,0,0,0,手強い,0.023385,ひどい,0.009223,凛々しい,0.006061,逞しい,0.005556,良い,0.001841,若い,0.001735,優しい,0.001029,楽しい,0.000908,巧みな,0.000167,巧みな,0.000167
30,戦国自衛隊,1979,斉藤光正,ＳＦ,戦争,千葉真一,中康治,江藤潤,速水亮,にしきのあきら,鎌田敏夫,0,0,0,0,日本,0,0,0,古い,0.01712,古臭い,0.013756,良い,0.004484,凄い,0.003575,空しい,0.002744,若い,0.002333,楽しい,0.001661,逞しい,0.000883,凛々しい,0.000533,憎い,0.000508
31,SHINOBI,2005,下山天,アクション,時代劇,仲間由紀恵,オダギリジョ－,黒谷友香,椎名桔平,沢尻エリカ,平田研也,0,0,0,東京スポーツ映画大賞新人賞,日本,0,0,0,愛らしい,0.010849,良い,0.003878,怖い,0.002568,切ない,0.002315,古臭い,0.002274,古臭い,0.002274,素晴らしい,0.000762,若い,0.000705,見事な,0.000644,憎い,0.000623
32,スパイダーマン,2002,サム・ライミ,アクション,ＳＦ,トビー・マグワイア,ウィレム・デフォー,キルスティン・ダンスト,ジェームズ・フランコ,Ｊ・Ｋ・シモンズ,デヴィッド・コープ,0,0,0,MTVムービー・アウォーズ女優賞　キルスティン・ダン・,アメリカ,0,0,0,愛らしい,0.007313,偉い,0.005614,若い,0.003031,逞しい,0.001757,凛々しい,0.000799,憎い,0.00061,空しい,0.000486,大切な,0.000293,手強い,0.000149,珍しい,0
33,ランボー,1982,テッド・コッチェフ,アクション,ドラマ,シルヴェスター・スタローン,マイケル・コゾル,ウィリアム・サックハイム,ジェリー・ゴールドスミス,シルベスター・スタローン,シルベスター・スタローン,0,0,0,0,アメリカ,0,0,0,危うい,0.012064,偉い,0.011879,手強い,0.011585,逞しい,0.008756,つらい,0.006811,古臭い,0.002764,憎い,0.002689,良い,0.001996,若い,0.001847,楽しい,0.00184
