添字,タイトル,制作年度,監督,ジャンル1,ジャンル2,主演1,主演2,主演3,主演4,主演5,脚本1,脚本2,脚本3,脚本4,受賞歴,制作国1,制作国2,制作国3,制作国4,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10
60,エイリアン,1979,リドリー・スコット,ＳＦ,ホラー,トム・スケリット,シガニー・ウィーバー,ジョン・ハート,ヤフェット・コットー,ハリー・ディーン・スタントン,ダン・オノバン,0,0,0,アカデミー賞視覚効果賞　星雲賞映画演劇部門メディア0,アメリカ,0,0,0,清々しい,0.012945,古い,0.008427,良い,0.005148,優しい,0.001357,暗い,0.000854,凛々しい,0.000656,ひどい,0.000376,豪華な,0.00035,逞しい,0.000222,若い,0.000189
61,電車男,2005,村上正典,ロマンス,ドラマ,山田孝之,中谷美紀,国仲涼子,瑛太,佐々木蔵之介,金子ありさ,0,0,0,0,日本,0,0,0,苦しい,0.02497,暗い,0.00751,古い,0.004302,優しい,0.003864,大切な,0.003844,逞しい,0.002635,若い,0.00159,怖い,0.00129,楽しい,0.000927,凛々しい,0.000517
62,エイリアン2,1986,ジェームズ・キャメロン,アクション,ＳＦ,シガーニー・ウィーヴァー,マイケル・ビーン,キャリー・ヘン,ランス・ヘンリクセン,ポール・ライザー,ジェームズ・キャメロン,0,0,0,アカデミー賞視覚効果賞・音響賞,アメリカ,0,0,0,ひどい,0.060981,凛々しい,0.021173,悲しい,0.01174,微笑ましい,0.01078,難しい,0.008836,手強い,0.006069,珍しい,0.004565,良い,0.00432,楽しい,0.002912,たまらない,0.001294
63,A.I.,2001,スティーヴン・スピルバーグ,ＳＦ,ドラマ,ハーレイ・ジョエル・オスメント,フランシス・オコナー,ジュード・ロウ,サム・ロバーズ,ブレンダン・グリーソン,スティーヴン・スピルバーグ,スタンリーキューブリック,0,0,0,アメリカ,0,0,0,巧い,0.018473,凛々しい,0.009584,若い,0.006883,良い,0.004013,空しい,0.00218,珍しい,0.001947,優しい,0.001643,清々しい,0.001139,楽しい,0.001023,憎い,0.000978
64,許されざる者,1992,クリント・イーストウッド,西部劇,ドラマ,クリント・イーストウッド,ジーン・ハックマン,モーガン・フリーマン,リチャード・ハリス,ジェームズ・ウールヴェット,デヴィッド・ウェッブ・ピープルズ,0,0,0,アカデミー賞監督賞・助演男優賞・編集賞　ゴールデン0,アメリカ,0,0,0,若い,0.007166,空しい,0.00512,美しい,0.004435,深い,0.002869,微笑ましい,0.002695,憎い,0.002369,怖い,0.002291,手強い,0.00157,良い,0.001275,逞しい,0.001262
65,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,1999,湯山邦彦,ファミリー,アニメ,松本梨香,大谷育江,飯塚雅弓,関智一,鹿賀丈史,首藤剛志,0,0,0,0,日本,0,0,0,苦しい,0.011394,良い,0.009812,大切な,0.008179,楽しい,0.005536,つらい,0.004941,優しい,0.004789,難しい,0.003812,怖い,0.00306,凛々しい,0.003056,逞しい,0.002908
66,火垂るの墓,1988,高畑勲,戦争,アニメ,辰己努,白石綾乃,志乃原良子,山口朱美,酒井雅代,高畑勲,0,0,0,ブルーリボン賞特別賞　日本アニメ大賞日本アニメ大賞アカデミー賞視覚効果賞・音響賞　日本インターネット報知映画賞新人賞,日本,0,0,0,空しい,0.005581,古臭い,0.004336,良い,0.004224,若い,0.00279,大切な,0.002549,逞しい,0.002099,凛々しい,0.001019,楽しい,0.000556,ひどい,0.000302,怖い,0.000286
67,マトリックス,1999,アンディ・ウォシャウスキー,ＳＦ,アクション,キアヌ・リーヴス,ローレンス・フィッシュバーン,キャリー＝アン・モス,ヒューゴ・ウィービング,グロリア・フォスター,アンディ・ウォシャウスキー,0,0,0,アカデミー賞視覚効果賞・音響賞　日本インターネット報知映画賞新人賞,アメリカ,0,0,0,手強い,0.011459,古臭い,0.00891,古臭い,0.00891,凛々しい,0.007258,逞しい,0.005499,空しい,0.004009,優しい,0.003783,楽しい,0.003198,つらい,0.001326,若い,0.001226
68,時をかける少女,1983,大林宣彦,ＳＦ,ファンタジー,原田知世,高柳良一,尾美としのり,上原謙,内藤誠,剣持亘,大林宣彦,0,0,報知映画賞新人賞,日本,0,0,0,古い,0.006765,若い,0.005923,可愛い,0.004679,素晴らしい,0.002638,憎い,0.002109,楽しい,0.001284,貧しい,0.001054,手強い,0.000966,優しい,0.000589,凛々しい,0.000553
69,アメリ,2001,ジャン＝ピエール・ジュネ,コメディ,ロマンス,オドレイ・トトゥ,マチュー・カソヴィッツ,ヨランド・モロー,ジャメル・ドゥブーズ,イサベル・ナンティ,ジャン＝ピエール・ジュネ,ギョーム・ローラン,0,0,0,フランス,0,0,0,愛らしい,0.007761,優しい,0.006781,深い,0.005342,逞しい,0.004656,良い,0.002001,憎い,0.001916,手強い,0.001582,大切な,0.001519,楽しい,0.001108,珍しい,0.000041
70,宇宙戦争,2005,スティーヴン・スピルバーグ,ＳＦ,サスペンス,トム・クルーズ,ダコタ・ファニング,ティム・ロビンス,ジャスティン・チャットウィン,ミランダ・オットー,デビッド・コープ,0,0,0,東京スポーツ映画大賞特別作品賞　日本インターネット日本映画批評家大賞作品賞,アメリカ,0,0,0,深い,0.007949,面白い,0.000984,つらい,0.000741,難しい,0.000603,逞しい,0.000571,苦しい,0.000455,切ない,0.000416,若い,0.000367,手強い,0.000275,楽しい,0.000255
71,スウィングガールズ,2004,矢口史靖,コメディ,青春,上野樹里,貫地谷しほり,本仮屋ユイカ,豊島由佳梨,平岡祐太,矢口史靖,0,0,0,日本映画批評家大賞作品賞,日本,0,0,0,温かい,0.011441,懐かしい,0.011387,貧しい,0.007704,珍しい,0.004268,若い,0.003368,凄い,0.001823,楽しい,0.001645,大切な,0.000925,憎い,0.000684,空しい,0.000495
72,ぼくらの七日間戦争,1988,菅原比呂志,青春,アクション,宮沢りえ,五十嵐美穂,安孫子里香,工藤正貴,菊池健一郎,菅原比呂志,前田順之介,0,0,高崎映画祭ベストアイドル賞,日本,0,0,0,若い,0.00733,懐かしい,0.004192,偉い,0.003301,おかしい,0.002264,古臭い,0.002256,古臭い,0.002256,空しい,0.002062,良い,0.001736,怖い,0.00075,優しい,0.000624
73,クレヨンしんちゃん 爆発!温泉わくわく大決戦,1999,原恵一,ファミリー,アニメ,矢島晶子,ならはしみき,藤原啓治,こおろぎさとみ ,小川真司,原恵一,0,0,0,0,日本,0,0,0,深い,0.112299,若い,0.014154,素晴らしい,0.00693,優しい,0.005255,古臭い,0.004881,空しい,0.004518,逞しい,0.003411,手強い,0.002678,凛々しい,0.00133,楽しい,0.001009
74,ゲロッパ!,2003,井筒和幸,コメディ,任侠・ヤクザ,西田敏行,常盤貴子,山本太郎,岸部一徳,桐谷健太,井筒和幸,羽原大介,0,0,報知映画賞主演男優賞,日本,0,0,0,珍しい,0.049648,古臭い,0.010194,優しい,0.007142,良い,0.005857,空しい,0.005289,難しい,0.004619,逞しい,0.003889,憎い,0.002324,手強い,0.001923,楽しい,0.001654
75,裏窓,1954,アルフレッド・ヒッチコック,サスペンス,0,ジェームス・スチュワート,グレイス・ケリー,レイモンド・バー,セルマ・リッター,ウェンデル・コーリイ ,ジョン・マイケル・ヘイズ,0,0,0,0,アメリカ,0,0,0,愛らしい,0.005626,偉い,0.001904,空しい,0.001474,優しい,0.001437,古臭い,0.000945,古臭い,0.000945,貧しい,0.00078,手強い,0.000764,若い,0.000719,逞しい,0.000438
76,シックス・センス,1999,Ｍ・ナイト・シャマラン,サスペンス,ドラマ,ブルース・ウィリス,ハーレイ・ジョエル・オスメント,トニ・コレット,オリビア・ウィリアムズ,トレバ・モーガン,Ｍ・ナイト・シャマラン,0,0,0,0,アメリカ,0,0,0,力強い,0.054769,懐かしい,0.019877,憎い,0.018266,苦しい,0.016908,良い,0.015857,優しい,0.013428,逞しい,0.011583,つらい,0.009697,手強い,0.009252,空しい,0.008755
77,7月4日に生まれて,1989,オリヴァー・ストーン,ドラマ,戦争,トム・クルーズ,ブライアン・ラーキン,レイモンド・Ｊ・バリー,キャロライン・カヴァ,キーラ・セジウィック,オリヴァー・ストーン,ロン・コビック,0,0,アカデミー賞監督賞　ゴールデングローブ監督賞・脚本0,アメリカ,0,0,0,懐かしい,0.014447,貧しい,0.00767,楽しい,0.006031,若い,0.005466,空しい,0.004119,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.00252
78,クリムゾン・タイド,1995,トニー・スコット,サスペンス,0,デンゼル・ワシントン,ジーン・ハックマン,ジョージ・ズンザ,ヴィゴ・モーテンセン,ジェームズ・ガンドルフィーニ,マイケル・シファー,0,0,0,0,アメリカ,0,0,0,憎い,0.013777,手強い,0.013392,逞しい,0.00505,おびただしい,0.003465,暗い,0.002988,ひどい,0.002846,貧しい,0.002844,怖い,0.002838,良い,0.002078,若い,0.00192
79,バットマン,1989,ティム・バートン,アクション,ＳＦ,マイケル・キートン,ジャック・ニコルソン,キム・ベイシンガー,ジャック・パランス,ビリー・ディー・ウィリアムズ,サム・ハム,ウォーレン・スカーレン,0,0,アカデミー賞美術賞,アメリカ,0,0,0,ひどい,0.015842,理不尽な,0.011276,理不尽な,0.011276,理不尽な,0.011276,理不尽な,0.011276,大切な,0.003257,若い,0.001243,優しい,0.001038,楽しい,0.000565,古臭い,0.000295
80,蝶の舌,1999,ホセ・ルイス・クエルダ,ドラマ,0,フェルナンド・フェルナン・ゴメス,マヌエル・ロサノ,ウシア・ブランコ,アレクシス・デ・ロス・サントス,ゴンサロ・ウリアルテ,ラファエル・アスコナ,0,0,0,0,スペイン,0,0,0,貧しい,0.012773,懐かしい,0.006626,深い,0.004045,逞しい,0.002569,楽しい,0.001659,空しい,0.001185,孤独な,0.001155,微笑ましい,0.00106,大切な,0.000885,優しい,0.00042
81,ハウルの動く城,2004,宮崎駿,ファンタジー,アニメ,倍賞千恵子,木村拓哉,美輪明宏,我修院達也,神木隆之介,宮崎駿,0,0,0,0,日本,0,0,0,おかしい,0.01805,珍しい,0.017639,逞しい,0.007103,良い,0.005164,手強い,0.002737,若い,0.002707,凛々しい,0.00203,古臭い,0.001956,憎い,0.001795,眩い,0.001198
82,シェーン,1953,ジョージ・スティーヴンス,西部劇,0,アラン・ラッド,ヴァン・ヘフリン,ジーン・アーサー,ブランドン・デ・ワイルド,ウォルター・ジャック・パランス,A・B・ガスリー・Jr,0,0,0,アカデミー賞撮影賞,アメリカ,0,0,0,潔い,0.011804,古臭い,0.005926,古臭い,0.005926,逞しい,0.0034,懐かしい,0.002474,つらい,0.002407,力強い,0.002212,良い,0.001877,若い,0.001723,憎い,0.000941
83,バトル・ロワイアル,2000,深作欣二,サスペンス,学園,藤原竜也,前田亜季,山本太郎,栗山千明,塚本高史,深作健太,0,0,0,ブルーリボン賞作品賞　日刊スポーツ映画大賞新人賞　0,日本,0,0,0,若い,0.07493,古い,0.013133,暗い,0.007369,古臭い,0.006575,良い,0.001445,逞しい,0.000884,空しい,0.000673,凛々しい,0.000419,優しい,0.000352,大切な,0.000248
84,劇場版ポケットモンスター ミュウツーの逆襲,1998,湯山邦彦,ファミリー,アニメ,松本梨香,市村正親,大谷育江,飯塚雅弓,山寺宏一,首藤剛志,0,0,0,0,日本,0,0,0,空しい,0.008761,眩い,0.005858,若い,0.0053,珍しい,0.003497,深い,0.003092,逞しい,0.002817,可愛い,0.00238,優しい,0.002081,微笑ましい,0.001677,力強い,0.001358
85,リング0 バースデイ,2000,鶴田法男,ホラー,0,仲間由紀恵,田辺誠一,田中好子,麻生久美子,若松武史,高橋洋,0,0,0,0,日本,0,0,0,空しい,0.027311,良い,0.025852,大切な,0.019191,古臭い,0.007491,切ない,0.006118,憎い,0.005644,若い,0.005205,楽しい,0.004285,力強い,0.003628,怖い,0.003192
86,日本沈没,1973,森谷司郎,ＳＦ,特撮,藤岡弘,いしだあゆみ,小林桂樹,滝田裕介,二谷英明,橋本忍,0,0,0,0,日本,0,0,0,美しい,0.033979,若い,0.009181,力強い,0.004809,眩い,0.003601,優しい,0.002709,良い,0.002492,派手な,0.001883,派手な,0.001883,楽しい,0.001632,逞しい,0.000664
87,ハンニバル,2001,リドリー・スコット,サスペンス,ホラー,アンソニー・ホプキンス,ジュリアン・ムーア,ゲイリー・オールドマン,ジャンカルロ・ジャンニーニ,フランチェスカ・ネリ,デビッド・マーメット,スティーブン・ザイリアン,0,0,0,アメリカ,イギリス,0,0,多い,0.006377,古い,0.00472,若い,0.004378,凛々しい,0.002981,優しい,0.00216,深い,0.00203,大切な,0.001979,切ない,0.001638,楽しい,0.000994,つらい,0.000598
88,スタンド・バイ・ミー,1986,ロブ・ライナー,青春,ドラマ,ウィル・ウィートン,リバー・フェニックス,コリー・フェルドマン,ジェリー・オコンネル,キーファー・サザーランド,レイナルド・ギデオン,ブルース・A・エバンス,0,0,0,アメリカ,0,0,0,嬉しい,0.011882,悲しい,0.006132,怖い,0.002241,珍しい,0.001924,大切な,0.001055,凛々しい,0.000765,楽しい,0.000572,逞しい,0.000496,手強い,0.000364,力強い,0.000342
89,クレヨンしんちゃん 嵐を呼ぶ 栄光のヤキニクロード,2003,水島努,ファミリー,アニメ,矢島晶子,ならはしみき,藤原啓治,こおろぎさとみ,林玉緒,水島努,原恵一,0,0,0,日本,0,0,0,暗い,0.024589,苦しい,0.009214,手強い,0.00712,古い,0.003926,凛々しい,0.00347,楽しい,0.002829,逞しい,0.001671,優しい,0.001096,良い,0.001017,大切な,0.000426
90,ゾンビ,1978,ジョージ・Ａ・ロメロ,ホラー,アクション,デヴィッド・エムゲ,ケン・フォーリー,スコット・Ｈ・ライニガー,ゲイラン・ロス,トム・サビーニ,ジョージ・Ａ・ロメロ,0,0,0,0,イタリア,アメリカ,0,0,つらい,0.008688,若い,0.004289,良い,0.002603,楽しい,0.001813,逞しい,0.001499,古臭い,0.001295,優しい,0.001196,眩い,0.000804,凛々しい,0.000719,手強い,0.000632
91,マトリックス・レボリューションズ,2003,アンディ・ウォシャウスキー,ＳＦ,アクション,キアヌ・リーヴス,ローレンス・フィッシュバーン,キャリー＝アン・モス,ヒューゴ・ウィービング, ジェイダ・ピンケット＝スミス ,アンディ・ウォシャウスキー,0,0,0,0,アメリカ,0,0,0,初々しい,0.020713,古臭い,0.016126,古臭い,0.016126,珍しい,0.007265,若い,0.004969,良い,0.001589,逞しい,0.000654,微笑ましい,0.000308,幸せな,0.000262,楽しい,0.000209
92,モスラ,1961,本多猪四郎,ファミリー,特撮,フランキー堺,小泉博,香川京子,田山雅充,ザ・ピーナッツ,関沢新一,0,0,0,0,日本,0,0,0,強い,0.018239,清々しい,0.00892,怖い,0.006316,逞しい,0.003776,つらい,0.002619,難しい,0.00239,良い,0.002244,若い,0.001978,楽しい,0.001759,空しい,0.000729
93,バック・トゥ・ザ・フューチャー,1985,ロバート・ゼメキス,ＳＦ,コメディ,マイケル・Ｊ・フォックス,クリストファー・ロイド,リー・トンプソン,クリスピン・グローバー,ウェンディ・ジョー・スパーバー,ロバート・ゼメキス,ボブ・ゲイル,0,0,アカデミー賞音響賞　星雲賞映画演劇部門メディア部門0,アメリカ,0,0,0,暗い,0.047308,苦しい,0.010349,清々しい,0.006797,優しい,0.002498,若い,0.001438,大切な,0.000565,良い,0.000525,手強い,0.000319,空しい,0.00028,楽しい,0.000246
94,クレヨンしんちゃん アクション仮面VSハイグレ魔王,1993,本郷みつる,ファミリー,アニメ,矢島晶子,ならはしみき,藤原啓治,玄田哲章,小桜エツ子,もとひら了,0,0,0,0,日本,0,0,0,愛らしい,0.003919,暗い,0.002455,空しい,0.001644,優しい,0.001106,凛々しい,0.000579,逞しい,0.000559,賢い,0.000278,切ない,0.000274,若い,0.000216,楽しい,0.000209
95,メカゴジラの逆襲,1975,本多猪四郎,特撮,0,平田昭彦,藍とも子,内田勝正,佐々木勝彦,麻里とも恵,高山由紀夫,0,0,0,0,日本,0,0,0,良い,0.0192,手強い,0.012179,楽しい,0.009911,ひどい,0.004891,つらい,0.004594,優しい,0.004589,凛々しい,0.004389,憎い,0.002923,空しい,0.002564,逞しい,0.002359
96,ファインディング・ニモ,2003,アンドリュー・スタントン,ファミリー,アニメ,アルバート・ブルックス,エレン・デジェネレス,アレクサンダー・グールド,ウィレム・デフォー,ブラッド・ギャレット,アンドリュー・スタントン,ボブ・ピーターソン,0,0,アカデミー賞長編アニメ賞　アニー賞映画部門作品賞,アメリカ,0,0,0,面白い,0.026172,良い,0.011152,楽しい,0.008199,つらい,0.005594,古い,0.002503,眩い,0.002342,手強い,0.002164,力強い,0.001615,貧しい,0.001469,空しい,0.001456
97,砂の器,1974,野村芳太郎,サスペンス,ドラマ,丹波哲郎,加藤剛,森田健作,島田陽子,山口果林,橋本忍,山田洋次,0,0,毎日映画コンクール日本映画大賞,日本,0,0,0,暗い,0.157396,苦しい,0.009725,清々しい,0.004366,楽しい,0.003607,憎い,0.003232,孤独な,0.002519,若い,0.00181,優しい,0.001133,良い,0.000739,逞しい,0.00068
98,永遠に美しく…,1992,ロバート・ゼメキス,コメディ,ファンタジー,メリル・ストリープ,ブルース・ウィリス,ゴールディ・ホーン,イザベラ・ロッセリーニ ,シドニー・ポラック,マーティン・ドノバン,デビッド・コープ,0,0,アカデミー賞視覚効果賞,アメリカ,0,0,0,可愛い,0.01822,憎い,0.014762,若い,0.014593,良い,0.01101,逞しい,0.00796,楽しい,0.005811,凛々しい,0.00484,眩い,0.00362,難しい,0.00338,つらい,0.003303
99,ピアノ・レッスン,1993,ジェーン・カンピオン,ドラマ,0,ホリー・ハンター,ハーヴェイ・カイテル,サム・ニール,アンナ・パキン,ケリー・ウォーカー,ジェーン・カンピオン,0,0,0,アカデミー賞脚本賞・主演女優賞・助演女優賞　ゴール0,オーストラリア,ニュージーランド,フランス,0,若い,0.019648,面白い,0.009601,良い,0.0081,憎い,0.006264,珍しい,0.003809,優しい,0.003778,大切な,0.003131,楽しい,0.002764,逞しい,0.001075,巧みな,0.000296
100,ローレライ,2005,樋口真嗣,アクション,戦争,役所広司,妻夫木聡,柳葉敏郎,香椎由宇,石黒賢,鈴木智,0,0,0,0,日本,0,0,0,手強い,0.013873,強い,0.006127,苦しい,0.004397,逞しい,0.003732,凛々しい,0.00204,たまらない,0.001891,たまらない,0.001891,たまらない,0.001891,たまらない,0.001891,優しい,0.001043
101,Mr.インクレディブル,2004,ブラッド・バード,ファミリー,アニメ,クレイグ・Ｔ・ネルソン,ホリー・ハンター,サラ・ヴォーウェル,スペンサー・フォックス,エリザベス・ペーニャ,ブラッド・バード,0,0,0,アカデミー賞長編アニメ賞・音響賞　アニー賞作品賞,アメリカ,0,0,0,懐かしい,0.014447,貧しい,0.00767,楽しい,0.006031,若い,0.005466,空しい,0.004119,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.00252
102,ゴジラの逆襲,1955,小田基義,特撮,,小泉博,若山セツ子,笠間雪雄,千秋実,木匠マユリ,村田武雄,0,0,0,0,日本,0,0,0,愛らしい,0.003647,逞しい,0.00249,良い,0.002051,貧しい,0.001472,楽しい,0.001253,優しい,0.00078,凄い,0.000491,つらい,0.00045,古臭い,0.000322,怖い,0.000316
103,プライベート・ライアン,1998,スティーヴン・スピルバーグ,ドラマ,戦争,トム・ハンクス,トム・サイズモア,エドワード・バーンズ,バリー・ペッパー,アダム・ゴールドバーグ,ロバート・ロダット,0,0,0,アカデミー賞監督賞・撮影賞・音響賞,アメリカ,0,0,0,古い,0.056698,古臭い,0.017428,良い,0.008606,逞しい,0.004748,貧しい,0.002536,難しい,0.002425,楽しい,0.002366,豪華な,0.00103,怖い,0.000698,優しい,0.00046
104,呪怨,2002,清水崇,ホラー,0,奥菜恵,伊東美咲,上原美佐,市川由衣,津田寛治,清水崇,0,0,0,0,日本,0,0,0,愛らしい,0.008136,偉い,0.005436,苦しい,0.004874,難しい,0.002817,良い,0.002526,楽しい,0.002316,優しい,0.001778,微笑ましい,0.001275,眩い,0.000922,つらい,0.000842
105,スパイダーマン2,2004,サム・ライミ,アクション,アドベンチャー,トビー・マグワイア,キルスティン・ダンスト,アルフレッド・モリーナ,ジェームズ・フランコ,ローズマリー・ハリス,アルヴィン・サージェント,0,0,0,アカデミー賞視覚効果賞・音響賞,アメリカ,0,0,0,青白い,0.015704,深い,0.005985,古い,0.002588,空しい,0.00192,楽しい,0.001466,憎い,0.001176,若い,0.001112,良い,0.00073,優しい,0.000555,大切な,0.000356
106,バットマン・フォーエヴァー,1995,ジョエル・シューマカー,アクション,ＳＦ,ヴァル・キルマー,トミー・リー・ジョーンズ,ジム・キャリー,クリス・オドネル,ニコール・キッドマン,アキヴァ・ゴールズマン,リー・バチェラー,ジャネット・スコット・バチェラー,0,0,アメリカ,0,0,0,悲しい,0.020055,切ない,0.00708,凛々しい,0.004255,空しい,0.00277,古臭い,0.002198,若い,0.001861,楽しい,0.001623,つらい,0.001591,逞しい,0.000996,優しい,0.000835
107,マイノリティ・リポート,2002,スティーヴン・スピルバーグ,ＳＦ,サスペンス,トム・クルーズ,コリン・ファレル,サマンサ・モートン,マックス・フォン・シドー,ロイス・スミス,ジョン・コーエン,スコット・フランク,0,0,0,アメリカ,0,0,0,若い,0.008928,優しい,0.006875,良い,0.004305,手強い,0.00425,微笑ましい,0.003314,楽しい,0.003227,大切な,0.002673,ひどい,0.001522,つらい,0.001397,凛々しい,0.001257
108,ロッキー,1976,ジョン・Ｇ・アヴィルドセン,ドラマ,スポーツ,シルヴェスター・スタローン,タリア・シャイア,バート・ヤング,カール・ウェザース,バージェス・メレディス,シルヴェスター・スタローン,0,0,0,アカデミー賞監督賞・作品賞・編集賞　ゴールデングロ0,アメリカ,0,0,0,強い,0.166278,手強い,0.115717,逞しい,0.099888,凛々しい,0.008692,良い,0.005243,若い,0.002419,貧しい,0.001473,大切な,0.00122,楽しい,0.000859,豊かな,0.00076
109,ルパン三世 カリオストロの城,1979,宮崎駿,アクション,アニメ,山田康雄,小林清志,増山江威子,井上真樹夫,納谷悟朗,宮崎駿,0,0,0,0,日本,0,0,0,懐かしい,0.014447,貧しい,0.00767,楽しい,0.006031,若い,0.005466,空しい,0.004119,大切な,0.003802,素晴らしい,0.003149,微笑ましい,0.002616,手強い,0.002594,逞しい,0.00252
110,ロボコップ,1987,ポール・ヴァーホーヴェン,アクション,ＳＦ,ピーター・ウェラー,ナンシー・アレン,ダニエル・オハーリヒー,ロニー・コックス,カートウッド・スミス,エドワード・ニューマイヤー,マイケル・マイナー,0,0,0,アメリカ,0,0,0,怖い,0.007595,古臭い,0.00543,若い,0.005162,切ない,0.003247,楽しい,0.003218,珍しい,0.002473,良い,0.002355,逞しい,0.001471,凛々しい,0.000256,たまらない,0.000091
111,銀河鉄道の夜,1985,杉井ギサブロー,文芸,アニメ,田中真弓,坂本千夏,金田龍之介,常田富士夫,大塚周夫,別役実,0,0,0,0,日本,0,0,0,美しい,0.017223,暗い,0.007703,若い,0.005645,楽しい,0.004057,切ない,0.002051,良い,0.001863,空しい,0.001209,珍しい,0.001163,幸せな,0.000831,優しい,0.000661
112,ULTRAMAN,2004,小中和哉,特撮,アドベンチャー,別所哲也,遠山景織子,大澄賢也,裕木奈江,広田亮平,長谷川圭一,0,0,0,0,日本,0,0,0,古臭い,0.006386,古臭い,0.006386,手強い,0.002187,優しい,0.002068,逞しい,0.00167,若い,0.001208,楽しい,0.000815,大切な,0.000624,ひどい,0.000336,微笑ましい,0.000328
113,スター・ウォーズ,1977,ジョージ・ルーカス,ＳＦ,アドベンチャー,マーク・ハミル,ハリソン・フォード,キャリー・フィッシャー,アレック・ギネス,ピーター・カッシング,ジョージ・ルーカス,0,0,0,アカデミー賞衣裳デザイン賞・視覚効果賞・音響賞　ゴ高崎映画祭若手監督賞・主演男優賞,アメリカ,0,0,0,懐かしい,0.069003,古い,0.067367,古臭い,0.03119,若い,0.007332,大切な,0.00563,楽しい,0.002348,力強い,0.001066,手強い,0.00106,難しい,0.000771,怖い,0.000601
114,CASSHERN,2004,紀里谷和明,ＳＦ,アクション,伊勢谷友介,麻生久美子,寺尾聰,樋口可南子,小日向文世,紀里谷和明,菅正太郎,佐藤大,0,高崎映画祭若手監督賞・主演男優賞,日本,0,0,0,切ない,0.011045,古い,0.006933,古臭い,0.005159,良い,0.005146,優しい,0.004621,若い,0.003671,楽しい,0.001883,怖い,0.001355,逞しい,0.000997,凛々しい,0.000336
115,走れメロス,1992,おおすみ正秋,文芸,アニメ,山寺宏一,小川眞司,中森明菜,小林昭二,水沢アキ,おおすみ正秋,0,0,0,0,日本,0,0,0,若い,0.01509,古臭い,0.006218,素晴らしい,0.002163,良い,0.001576,怖い,0.001403,手強い,0.001164,空しい,0.001154,珍しい,0.000726,優しい,0.000492,逞しい,0.000458
116,パール・ハーバー,2001,マイケル・ベイ,戦争,アクション,ベン・アフレック,ジョシュ・ハートネット,ケイト・ベッキンセール,ウィリアム・リー・スコット,グレッグ・ゾーラ,ランドール・ウォレス,0,0,0,アカデミー賞音響賞,アメリカ,0,0,0,愛らしい,0.006693,強い,0.004232,深い,0.002865,力強い,0.002738,空しい,0.002146,良い,0.001316,若い,0.000718,眩い,0.000576,楽しい,0.000507,つらい,0.000474
117,男たちの大和/YAMATO,2005,佐藤純彌,ドラマ,戦争,反町隆史,中村獅童,鈴木京香,松山ケンイチ,渡辺大,佐藤純彌,0,0,0,日刊スポーツ映画大賞石原裕次郎賞,日本,0,0,0,貧しい,0.008965,深い,0.002525,つらい,0.002298,良い,0.001968,眩い,0.000996,凛々しい,0.000947,優しい,0.000848,豪華な,0.000721,ひどい,0.000447,憎い,0.000438
118,千と千尋の神隠し,2001,宮崎駿,ファンタジー,アニメ,柊瑠美,内藤剛志,沢口靖子,夏木マリ,菅原文太,宮崎駿,0,0,0,日本アカデミー賞作品賞　ブルーリボン賞作品賞　報知0,日本,0,0,0,偉い,0.005614,若い,0.003031,逞しい,0.001757,凛々しい,0.000799,憎い,0.00061,空しい,0.000486,大切な,0.000293,手強い,0.000149,珍しい,0,no_image,0
119,のび太の恐竜,1980,福富博,ファミリー,アニメ,大山のぶ代,小原乃梨子,野村道子,たてかべ和也,肝付兼太,藤子・F・不二雄,0,0,0,0,日本,0,0,0,愛らしい,0.01309,空しい,0.008957,珍しい,0.004091,優しい,0.003704,良い,0.003495,つらい,0.002488,逞しい,0.002117,凄い,0.000969,ひどい,0.000834,凛々しい,0.000321
120,トイ・ストーリー2,1999,ジョン・ラセター,ファミリー,アニメ,トム・ハンクス,ティム・アレン,ジョーン・キューザック,ウェイン・ナイト,ケルシー・グラマー,アンドリュー・スタントン,リタ・シャオ,ダグ・チャンバーリン,クリス・ウェッブ,ゴールデングローブ作品賞　アニー賞作品賞,アメリカ,0,0,0,古い,0.005905,古臭い,0.003616,若い,0.002755,凄い,0.001971,良い,0.001855,楽しい,0.001423,難しい,0.000654,怖い,0.000476,優しい,0.000459,手強い,0.000274
121,オペラ座の怪人,2004,ジョエル・シューマカー,ミュージカル,ロマンス,ジェラルド・バトラー,エミー・ロッサム,パトリック・ウィルソン,ミランダ・リチャードソン,ミニー・ドライバー,ジョエル・シューマカー,アンドリュー・ロイド・ウェッバー,0,0,0,アメリカ,イギリス,0,0,若い,0.076477,おびただしい,0.012872,古臭い,0.01165,暗い,0.007274,良い,0.00373,深い,0.001698,清々しい,0.001678,憎い,0.001302,つらい,0.001061,楽しい,0.001037
