0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
1,1.0,0.0185398497065438,0.017113707421425046,0.0,0.0,0.02495748998957819,0.0,0.0,0.013438648455926717,0.0,0.0,0.0,0.0,0.0,0.025615709505786847,0.041467829521145305,0.012780428939718062,0.026712742032801273,0.030716910756403926,0.03214305304152268,0.022873128188250783,0.0262739290219955,0.0,0.0,0.0,0.03894465470901212,0.03713455103943832,0.03932861609346717,0.0,0.0,0.0,0.03773791892929625,0.0,0.016510339531567112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347759311063573,0.01733311392682793,0.0,0.0,0.036695738028632546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025012341615928912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008721408589764687,0.0,0.0,0.0,0.0,0.0,0.02572541275848829,0.0,0.0,0.0,0.03153968515166475,0.0,0.0,0.0,0.04141297789479458,0.02660303878009983,0.0,0.0,0.0,0.0,0.0,0.03664088640228183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378476221819977,0.0,0.015906971641709178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03208820141517196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012890132192419506,0.03077176238275465,0.0,0.0,0.0,0.0363117766441775,0.0,0.014809939114694751,0.0,0.0,0.0,0.0,0.0,0.03153968515166475,0.0,0.0,0.0,0.0,0.0,0.04108386813669025,0.0,0.0,0.0,0.0,0.0
2,0.037909376401973977,1.0,0.018393898609241812,0.0,0.0,0.027703005832211754,0.0,0.0,0.01693584567070435,0.0,0.0,0.0,0.0,0.0,0.02489905787348587,0.037236428891879766,0.018281740690892778,0.0265814266487214,0.031628532974428,0.031852848811126065,0.02635711081202333,0.029161058770749215,0.0,0.0,0.0,0.03532974427994617,0.0335352175863616,0.036227007626738444,0.0,0.0,0.0,0.03633916554508748,0.0,0.016823687752355317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03465679676985195,0.015926424405563033,0.0,0.0,0.032525796321220275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026244952893674293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010206370569762225,0.0,0.0,0.0,0.0,0.0,0.028488111260655,0.0,0.0,0.0,0.03151637505607896,0.0,0.0,0.0,0.03712427097353073,0.02602063705697622,0.0,0.0,0.0,0.0,0.0,0.033759533423059665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033647375504710635,0.0,0.015814266487214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338716913414087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142440556303275,0.03151637505607896,0.0,0.0,0.0,0.033647375504710635,0.0,0.012449528936742935,0.0,0.0,0.0,0.0,0.0,0.0265814266487214,0.0,0.0,0.0,0.0,0.0,0.036563481381785556,0.0,0.0,0.0,0.0,0.0
3,0.03883978588323167,0.020415784887339725,1.0,0.0,0.0,0.02377692020415785,0.0,0.0,0.013071081787626043,0.0,0.0,0.0,0.0,0.0,0.024523839163450765,0.03846632640358521,0.01605875762479771,0.028133947466699862,0.0322420017428109,0.029876758371716668,0.02539524461595917,0.02564421760239014,0.0,0.0,0.0,0.03734594796464583,0.03348686667496577,0.03697248848499938,0.0,0.0,0.0,0.036101083032490974,0.0,0.01792605502303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03348686667496577,0.018050541516245487,0.0,0.0,0.034856218100336116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02377692020415785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010456865430100834,0.0,0.0,0.0,0.0,0.0,0.025146271629528195,0.0,0.0,0.0,0.03012573135814764,0.0,0.0,0.0,0.03759492095107681,0.030001244864932154,0.0,0.0,0.0,0.0,0.0,0.03535416407319806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03560313705962903,0.0,0.01668119009087514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031246109797087016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012946595294410557,0.030374704344578615,0.0,0.0,0.0,0.03560313705962903,0.0,0.014564919706211876,0.0,0.0,0.0,0.0,0.0,0.02788497448026889,0.0,0.0,0.0,0.0,0.0,0.037968380430723266,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.038325471698113206,0.020805256064690025,0.016088274932614555,0.0,0.0,1.0,0.0,0.0,0.01474056603773585,0.0,0.0,0.0,0.0,0.0,0.025016846361185983,0.03680929919137466,0.015245956873315364,0.027964959568733155,0.030070754716981132,0.03175539083557952,0.024679919137466307,0.03032345013477089,0.0,0.0,0.0,0.03621967654986523,0.03605121293800539,0.03689353099730458,0.0,0.0,0.0,0.03605121293800539,0.0,0.017351752021563343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034535040431266845,0.017183288409703505,0.0,0.0,0.03352425876010782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027964959568733155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009602425876010783,0.0,0.0,0.0,0.0,0.0,0.028891509433962265,0.0,0.0,0.0,0.031839622641509434,0.0,0.0,0.0,0.0373989218328841,0.02543800539083558,0.0,0.0,0.0,0.0,0.0,0.0347877358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034535040431266845,0.0,0.01676212938005391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03436657681940701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014235175202156334,0.03209231805929919,0.0,0.0,0.0,0.03436657681940701,0.0,0.012887466307277629,0.0,0.0,0.0,0.0,0.0,0.02855458221024259,0.0,0.0,0.0,0.0,0.0,0.03664083557951482,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.03858875413450937,0.02378327295637108,0.016538037486218304,0.0,0.0,0.027563395810363836,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02331075759962199,0.037801228539927546,0.014962986297054654,0.027563395810363836,0.028508426523862027,0.03197353914002205,0.024255788313120176,0.027878406048196566,0.0,0.0,0.0,0.03512364151834935,0.03638368246968027,0.03606867223184754,0.0,0.0,0.0,0.036856197826429356,0.0,0.017640573318632856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036856197826429356,0.015277996534887385,0.0,0.0,0.03244605449677115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024255788313120176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007717750826901874,0.0,0.0,0.0,0.0,0.0,0.028823436761694757,0.0,0.0,0.0,0.03197353914002205,0.0,0.0,0.0,0.03858875413450937,0.025043313907702,0.0,0.0,0.0,0.0,0.0,0.033863600567018426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034178610804851156,0.0,0.016538037486218304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030871003307607496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017010552842967396,0.02866593164277839,0.0,0.0,0.0,0.033233580091352966,0.0,0.015593006772720113,0.0,0.0,0.0,0.0,0.0,0.027563395810363836,0.0,0.0,0.0,0.0,0.0,0.036698692707513,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
