1,5,5
1,8,3
1,36,3
1,132,3
1,27,3
2,4,5
2,5,3
2,8,5
2,19,5
2,68,3
3,76,3
3,79,3
3,62,4
3,60,4
3,24,5
4,4,5
4,8,5
4,30,5
4,36,5
4,68,5
5,17,5
5,76,5
5,24,5
5,132,5
5,61,3
6,97,3
6,51,3
6,131,3
6,16,3
6,126,3
7,76,4
7,132,3
7,56,5
7,2,5
7,3,5
8,60,4
8,70,4
8,97,4
8,71,4
8,77,4
9,36,5
9,114,3
9,132,3
9,66,5
9,71,5
10,132,3
10,22,5
10,87,5
10,86,3
11,4,5
11,19,5
11,35,5
11,68,5
11,79,5
12,79,5
12,103,5
12,19,5
12,33,5
12,27,5
13,4,3
13,5,3
13,8,5
13,68,3
13,76,5
14,8,5
14,17,5
14,19,5
14,68,5
14,33,5
15,5,4
15,8,5
15,68,3
15,79,5
15,103,3
16,114,5
16,51,5
16,93,5
16,43,5
16,52,5
17,36,4
17,103,3
17,76,3
17,114,5
17,71,3
18,66,5
18,115,5
18,134,5
19,4,4
19,62,3
19,114,3
19,33,3
19,58,3
20,30,5
20,114,5
20,62,5
20,71,5
20,43,4
21,5,4
21,8,5
21,79,5
21,62,4
21,24,3
22,5,3
22,61,3
22,16,5
22,2,3
22,14,4
23,5,5
23,76,5
23,114,5
23,66,5
23,2,5
24,97,4
24,58,3
24,61,3
24,101,5
24,92,4
25,103,5
25,76,5
25,79,5
25,17,5
25,51,5
26,5,3
26,17,4
26,36,3
26,68,4
26,103,4
27,103,5
27,93,5
27,52,5
27,2,5
27,9,5
28,17,5
28,56,5
28,2,5
28,3,4
28,80,5
29,17,5
29,27,4
29,70,3
29,85,5
29,49,5
30,103,3
30,114,3
30,132,3
30,27,3
30,66,4
31,4,3
31,5,5
31,30,5
31,36,5
31,68,5
32,103,5
32,19,3
32,108,5
32,87,5
32,129,5
33,36,3
33,4,4
33,70,3
33,51,4
33,58,4
34,4,5
34,5,3
34,68,4
34,76,3
34,24,3
35,5,3
35,36,3
35,33,3
35,132,3
35,61,4
36,24,4
36,108,4
36,127,3
36,92,3
36,54,4
37,79,3
37,62,5
37,60,5
37,24,5
37,33,5
38,17,3
38,71,3
38,47,3
38,22,3
38,104,3
39,4,5
39,17,5
39,19,3
39,30,5
39,68,5
40,5,4
40,8,4
40,36,4
40,68,4
40,79,4
41,4,4
41,30,5
41,114,5
41,71,5
41,43,5
42,68,5
42,5,4
42,9,5
42,99,5
42,10,3
43,35,4
43,68,4
43,5,4
43,114,3
43,77,4
44,4,3
44,5,3
44,8,3
44,17,3
44,19,3
45,5,5
45,17,5
45,68,5
45,46,3
45,58,5
46,19,5
46,79,4
46,62,4
46,24,4
46,33,3
47,36,3
47,103,3
47,40,3
47,27,4
47,77,3
48,4,3
48,24,4
48,133,5
48,41,4
48,52,3
49,30,3
49,132,3
49,40,3
49,70,3
49,97,4
50,103,3
50,114,5
50,62,5
50,60,5
50,51,3
51,4,5
51,68,3
51,61,3
51,2,3
51,42,3
52,76,3
52,19,3
52,33,3
52,133,3
52,127,3
53,61,4
53,42,4
53,12,5
53,50,3
54,61,3
54,134,3
55,17,4
55,35,5
55,36,5
55,76,3
55,132,3
56,4,4
56,8,3
56,30,3
56,36,3
56,68,3
57,17,3
57,79,3
57,60,3
57,132,3
57,51,3
58,5,3
58,79,3
58,114,5
58,70,3
58,131,5
59,4,5
59,5,5
59,36,5
59,132,3
59,27,5
60,36,5
60,103,3
60,40,5
60,58,4
60,97,5
61,36,3
61,71,4
61,105,3
61,14,4
61,21,3
62,5,4
62,17,5
62,19,4
62,76,5
62,103,4
63,4,3
63,8,4
63,17,3
63,19,4
63,30,5
64,4,5
64,5,5
64,17,5
64,35,5
64,79,5
65,17,3
65,36,3
65,68,3
65,76,3
65,103,3
66,36,3
66,103,3
66,65,5
66,70,4
66,61,3
67,8,3
67,36,3
67,76,4
67,103,4
67,114,5
68,114,3
68,65,4
68,46,3
68,89,4
68,58,4
69,17,4
69,60,4
69,101,4
69,2,4
69,47,5
70,68,3
70,5,4
70,79,3
